"Timestamp","Distance Filter","Accuracy","Speed","Course","Distance","Latitude","Longitude"
2017-08-26_08:37:43,0,10,1,314,1,33.86629,-118.38531
2017-08-26_08:37:44,0,10,5,313,2,33.86630,-118.38532
2017-08-26_08:37:45,0,10,14,307,4,33.86632,-118.38534
2017-08-26_08:37:46,0,10,16,290,5,33.86633,-118.38539
2017-08-26_08:37:47,0,10,27,269,8,33.86634,-118.38546
2017-08-26_08:37:48,0,10,33,249,9,33.86631,-118.38555
2017-08-26_08:37:49,0,10,37,239,10,33.86627,-118.38565
2017-08-26_08:37:50,0,10,37,232,11,33.86621,-118.38574
2017-08-26_08:37:51,0,10,44,232,13,33.86614,-118.38584
2017-08-26_08:37:52,0,10,47,230,14,33.86607,-118.38595
2017-08-26_08:37:53,0,10,49,230,14,33.86599,-118.38606
2017-08-26_08:37:54,0,10,49,229,14,33.86591,-118.38617
2017-08-26_08:37:55,0,10,49,228,14,33.86583,-118.38629
2017-08-26_08:37:56,0,10,47,229,13,33.86576,-118.38639
2017-08-26_08:37:57,0,10,46,229,13,33.86568,-118.38649
2017-08-26_08:37:58,0,10,44,228,13,33.86560,-118.38659
2017-08-26_08:37:59,0,10,42,228,13,33.86552,-118.38668
2017-08-26_08:38:00,0,10,39,224,12,33.86545,-118.38677
2017-08-26_08:38:01,0,10,35,229,10,33.86540,-118.38685
2017-08-26_08:38:02,0,10,32,228,9,33.86535,-118.38693
2017-08-26_08:38:03,0,10,26,228,7,33.86531,-118.38698
2017-08-26_08:38:04,0,10,22,228,6,33.86528,-118.38702
2017-08-26_08:38:05,0,10,20,256,6,33.86526,-118.38708
2017-08-26_08:38:06,0,10,19,228,6,33.86525,-118.38714
2017-08-26_08:38:07,0,10,21,274,8,33.86526,-118.38721
2017-08-26_08:38:08,0,10,22,273,10,33.86525,-118.38731
2017-08-26_08:38:09,0,10,30,266,12,33.86521,-118.38742
2017-08-26_08:38:10,0,10,40,228,13,33.86511,-118.38749
2017-08-26_08:38:11,0,10,39,228,16,33.86497,-118.38748
2017-08-26_08:38:12,0,10,36,228,10,33.86491,-118.38755
2017-08-26_08:38:13,0,10,36,228,10,33.86487,-118.38764
2017-08-26_08:38:14,0,10,37,228,10,33.86482,-118.38772
2017-08-26_08:38:15,0,10,41,227,12,33.86477,-118.38782
2017-08-26_08:38:16,0,10,44,228,12,33.86470,-118.38792
2017-08-26_08:38:17,0,10,45,228,14,33.86463,-118.38803
2017-08-26_08:38:18,0,10,49,227,18,33.86453,-118.38818
2017-08-26_08:38:19,0,10,54,227,26,33.86432,-118.38827
2017-08-26_08:38:20,0,10,55,228,15,33.86422,-118.38838
2017-08-26_08:38:21,0,10,55,228,16,33.86413,-118.38850
2017-08-26_08:38:22,0,10,54,229,16,33.86404,-118.38863
2017-08-26_08:38:23,0,10,52,229,15,33.86396,-118.38875
2017-08-26_08:38:24,0,10,47,229,14,33.86387,-118.38886
2017-08-26_08:38:25,0,10,43,230,12,33.86380,-118.38895
2017-08-26_08:38:26,0,10,40,231,12,33.86374,-118.38904
2017-08-26_08:38:27,0,10,34,233,10,33.86368,-118.38912
2017-08-26_08:38:28,0,10,30,236,10,33.86363,-118.38920
2017-08-26_08:38:29,0,10,27,238,8,33.86359,-118.38926
2017-08-26_08:38:30,0,10,26,241,8,33.86356,-118.38933
2017-08-26_08:38:31,0,10,26,242,8,33.86353,-118.38940
2017-08-26_08:38:32,0,10,26,244,8,33.86350,-118.38947
2017-08-26_08:38:33,0,10,23,246,7,33.86348,-118.38953
2017-08-26_08:38:34,0,10,20,248,6,33.86346,-118.38958
2017-08-26_08:38:35,0,10,15,249,4,33.86345,-118.38962
2017-08-26_08:38:36,0,10,11,250,2,33.86345,-118.38964
2017-08-26_08:38:37,0,10,11,251,4,33.86344,-118.38967
2017-08-26_08:38:38,0,10,13,252,4,33.86343,-118.38971
